epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2372.06,1.45227,0.8113,1.33949,0.77997,0.77516,0.79006,0.32856,1.99062,1.04036,1.77578,0.000473612,0.000473612,0.000473612
99,2395.44,1.43319,0.79888,1.33679,0.81098,0.75599,0.78456,0.35077,1.94965,1.01551,1.73749,0.000470566,0.000470566,0.000470566
100,2418.68,1.4522,0.80496,1.34669,0.82648,0.74709,0.79462,0.36136,1.94493,1.03368,1.7553,0.000467521,0.000467521,0.000467521
101,2442.15,1.44303,0.79442,1.33286,0.81006,0.74111,0.7824,0.35299,1.96452,1.02855,1.7407,0.000464476,0.000464476,0.000464476
102,2466.23,1.43472,0.79231,1.34703,0.81085,0.73951,0.7831,0.34763,1.99376,1.00451,1.77753,0.000461431,0.000461431,0.000461431
103,2490.08,1.45162,0.80487,1.35534,0.80374,0.78125,0.79686,0.34938,1.95101,1.01968,1.74838,0.000458386,0.000458386,0.000458386
104,2513.35,1.44472,0.79876,1.34387,0.79699,0.74368,0.78199,0.35734,1.96626,1.02724,1.7617,0.00045534,0.00045534,0.00045534
105,2537.03,1.42718,0.80168,1.34927,0.79475,0.79476,0.81077,0.37734,1.95718,1.02498,1.74397,0.000452295,0.000452295,0.000452295
106,2560.91,1.44721,0.79412,1.35448,0.83837,0.78593,0.82506,0.39083,1.96503,1.0154,1.75885,0.00044925,0.00044925,0.00044925
107,2584.96,1.4366,0.78857,1.3419,0.83333,0.76153,0.80635,0.34771,1.98242,1.0518,1.77845,0.000446205,0.000446205,0.000446205
108,2609.13,1.41971,0.78543,1.32834,0.82688,0.78565,0.80469,0.35295,1.97982,1.03729,1.77851,0.000443159,0.000443159,0.000443159
109,2632.27,1.42132,0.78201,1.33158,0.79783,0.78305,0.79068,0.35896,1.98698,1.01701,1.76844,0.000440114,0.000440114,0.000440114
110,2656.28,1.42445,0.77431,1.32924,0.8168,0.77602,0.80331,0.35637,1.97004,0.99667,1.77091,0.000437069,0.000437069,0.000437069
111,2679.65,1.43109,0.7822,1.32581,0.8225,0.79892,0.82669,0.38767,1.97329,0.99033,1.77467,0.000434024,0.000434024,0.000434024
112,2703.68,1.43225,0.78133,1.3245,0.80948,0.79024,0.79914,0.35841,1.97096,1.03297,1.77012,0.000430978,0.000430978,0.000430978
113,2727.46,1.43992,0.78588,1.34131,0.81438,0.76416,0.79665,0.36604,1.96537,1.00972,1.7677,0.000427933,0.000427933,0.000427933
114,2751.53,1.43398,0.78404,1.33905,0.83867,0.77225,0.79504,0.37861,1.98813,1.02531,1.7909,0.000424888,0.000424888,0.000424888
115,2775.7,1.42037,0.77787,1.32907,0.82136,0.77117,0.81335,0.36991,1.97443,1.01929,1.76779,0.000421843,0.000421843,0.000421843
116,2799.56,1.42439,0.7792,1.32923,0.83291,0.77877,0.81195,0.38007,1.98428,1.00748,1.75209,0.000418797,0.000418797,0.000418797
117,2823.32,1.42336,0.7857,1.32149,0.8414,0.75589,0.80323,0.36847,1.98463,1.01297,1.77431,0.000415752,0.000415752,0.000415752
118,2846.82,1.42086,0.77922,1.32972,0.82908,0.77185,0.80695,0.36828,1.98699,1.02223,1.79086,0.000412707,0.000412707,0.000412707
119,2870.11,1.4162,0.77577,1.333,0.82815,0.78221,0.80431,0.35289,1.97707,1.00442,1.77133,0.000409662,0.000409662,0.000409662
120,2894.62,1.40089,0.76954,1.32361,0.8109,0.77932,0.80053,0.34686,2.00123,1.03595,1.80313,0.000406616,0.000406616,0.000406616
121,2918.09,1.41202,0.77666,1.33051,0.80809,0.76594,0.79286,0.34287,2.00359,1.00934,1.81628,0.000403571,0.000403571,0.000403571
122,2941.78,1.43882,0.77395,1.33494,0.80862,0.7714,0.79716,0.3365,1.98612,1.00177,1.79921,0.000400526,0.000400526,0.000400526
